idPlayer,qtKill,qtAssist,qtDeath,qtHs,qtBombeDefuse,qtBombePlant,qtTk,qtTkAssist,qt1Kill,qt2Kill,qt3Kill,qt4Kill,qt5Kill,qtFirstKill,vlDamage,qtHits,qtShots,qtLastAlive,qtClutchWon,qtRoundsPlayed,qtSurvived,qtTrade,qtFlashAssist,qtHitHeadshot,qtHitChest,qtHitStomach,qtHitLeftAtm,qtHitRightArm,qtHitLeftLeg,qtHitRightLeg,gamesWinned,descMapName_de_ancient,descMapName_de_dust2,descMapName_de_inferno,descMapName_de_mirage,descMapName_de_nuke,descMapName_de_overpass,descMapName_de_train,descMapName_de_vertigo,KDA,hitRate,ADR,HSRate,gamesPlayed,winRate,weightedHitRate,brilliantPerformance,grade
2286,1974,373,1772,635,40,171,1.0,30.0,806,392,103,17,1,246,257736,6956.0,51425,106.0,53,2688,817.0,299.0,103.0,840.0,2914.0,1846.0,178.0,540.0,312.0,326.0,43,0,31,16,33,2,0,1,17,1.324492099322799,0.13526494895478852,95.88392857142857,0.01633446767136607,100,0.43,0.15351541079241615,1.9255000000000002,D
2287,1360,247,1190,718,16,45,1.0,8.0,493,242,93,22,3,204,173738,4483.0,38080,16.0,12,1582,373.0,247.0,21.0,886.0,2144.0,697.0,111.0,393.0,97.0,155.0,37,1,6,14,30,1,1,2,6,1.350420168067227,0.11772584033613445,109.82174462705436,0.023266806722689076,61,0.6065573770491803,0.1469889705882353,3.1262295081967206,B
2288,1865,441,2031,633,28,70,0.0,23.0,831,312,110,16,2,342,251437,6891.0,53170,63.0,38,2741,659.0,308.0,44.0,831.0,2983.0,1623.0,215.0,555.0,335.0,349.0,47,2,11,35,28,3,8,3,10,1.135401280157558,0.12960315967650932,91.7318496898942,0.015629114162121496,100,0.47,0.14619823208576269,1.999,E
2289,1925,384,2045,1060,27,75,1.0,45.0,828,351,95,27,0,257,249645,5975.0,48060,73.0,42,2733,544.0,355.0,68.0,1174.0,2427.0,751.0,129.0,384.0,96.0,112.0,35,2,27,12,34,10,1,2,12,1.1290953545232274,0.1243237619642114,91.34467618002195,0.024427798585101957,100,0.35,0.1428183520599251,2.7510000000000003,D
2290,1577,342,1831,613,29,125,3.0,3.0,697,283,86,11,1,217,214171,5988.0,44968,74.0,51,2498,590.0,263.0,16.0,747.0,2512.0,1493.0,188.0,515.0,244.0,289.0,40,4,11,21,33,3,6,8,14,1.0480611687602404,0.13316135918875646,85.73698959167334,0.016611812844689558,100,0.4,0.15353051058530512,1.723,F
2291,1771,395,1946,536,33,99,2.0,11.0,834,288,100,12,2,201,235231,7187.0,47996,45.0,24,2642,640.0,268.0,28.0,695.0,3049.0,1932.0,233.0,554.0,352.0,372.0,43,0,12,28,21,2,16,3,18,1.1130524152106887,0.14974164513709476,89.03520060560182,0.014480373364447038,100,0.43,0.16617780648387367,1.5475000000000003,E
2292,269,43,178,110,5,16,0.0,1.0,102,48,19,3,0,34,33595,846.0,4473,12.0,8,287,96.0,31.0,2.0,129.0,384.0,184.0,29.0,51.0,35.0,34.0,7,0,4,2,1,1,1,0,1,1.752808988764045,0.1891348088531187,117.05574912891986,0.028839704896042925,10,0.7,0.22949921752738656,3.045,A
2293,45,18,120,12,0,8,0.0,2.0,32,4,1,0,0,17,6610,134.0,1075,3.0,3,151,27.0,24.0,0.0,14.0,70.0,27.0,2.0,13.0,3.0,5.0,3,0,1,2,1,1,1,0,0,0.525,0.12465116279069767,43.77483443708609,0.013023255813953489,6,0.5,0.1459906976744186,0.8916666666666667,G
2294,19,6,59,6,0,1,0.0,0.0,10,3,1,0,0,3,2901,89.0,574,0.0,0,70,10.0,12.0,0.0,12.0,42.0,14.0,3.0,4.0,6.0,8.0,1,0,0,0,1,1,0,0,1,0.423728813559322,0.15505226480836237,41.44285714285714,0.020905923344947737,3,0.3333333333333333,0.1602439024390244,0.5833333333333334,G
2295,1289,268,1309,437,11,25,5.0,8.0,533,244,68,9,2,244,170346,4671.0,24474,35.0,22,1774,418.0,163.0,22.0,563.0,2045.0,1137.0,182.0,320.0,205.0,219.0,31,2,10,17,26,7,10,5,2,1.189457601222307,0.19085560186320177,96.02367531003382,0.023004004249407534,79,0.3924050632911392,0.2176881588624663,1.7335443037974683,D
2296,1132,314,1991,370,19,168,2.0,5.0,670,148,50,4,0,112,155941,4773.0,30134,131.0,28,2660,676.0,347.0,17.0,471.0,1635.0,1480.0,141.0,293.0,368.0,385.0,49,1,5,23,49,12,0,3,6,0.7262682069311903,0.15839251343996813,58.624436090225565,0.015630185172894405,99,0.494949494949495,0.1716851397092985,1.0191919191919192,F
